State,CO2,VR,Year
Andhra Pradesh,16101,12687703,2013
Assam,15129,1877522,2013
Bihar,17073,3617227,2013
Delhi,18045,7785283,2013
Goa,19017,938372,2013
Gujarat,19989,15772453,2013
Haryana,20961,6599594,2013
Himachal Pradesh,21934,876061,2013
Karnataka,23878,12063686,2013
Kerala,24850,7857822,2013
Maharashtra,25822,21488152,2013
Madhya Pradesh,26794,8760039,2013
Orissa,27766,4215540,2013
Punjab,28738,6262939,2013
Rajasthan,29711,10071945,2013
Tamil Nadu,30683,19232061,2013
Uttar Pradesh,31655,17048184,2013
West Bengal,32627,6110734,2013
Jammu & Kashmir,22906,1020786,2013
