State,CO2,VR,Year
Andhra Pradesh,16726,7002143,2014
Assam,15754,2217007,2014
Bihar,17698,4163396,2014
Delhi,18671,8292757,2014
Goa,19643,1009362,2014
Gujarat,20615,17091599,2014
Haryana,21587,7238748,2014
Himachal Pradesh,22559,974270,2014
Karnataka,24503,13335106,2014
Kerala,25475,8775041,2014
Maharashtra,26448,23393776,2014
Madhya Pradesh,27420,9721625,2014
Orissa,28392,4701806,2014
Punjab,29364,6262939,2014
Rajasthan,30336,11133420,2014
Tamil Nadu,31308,20863662,2014
Uttar Pradesh,32280,19114692,2014
West Bengal,33253,6745004,2014
Jammu & Kashmir,23531,1133077,2014
