State,CO2,VR,Year
Andhra Pradesh,14224,8923139,2010
Assam,13252,1383721,2010
Bihar,15196,2356986,2010
Delhi,16168,6746848,2010
Goa,17141,727042,2010
Gujarat,18113,11872573,2010
Haryana,19085,4791825,2010
Himachal Pradesh,20057,538341,2010
Karnataka,22001,9043976,2010
Kerala,22973,5397652,2010
Maharashtra,23945,15768421,2010
Madhya Pradesh,24918,6590576,2010
Orissa,25890,2931832,2010
Punjab,26862,5274254,2010
Rajasthan,27834,7165662,2010
Tamil Nadu,28806,14061533,2010
Uttar Pradesh,29778,11988349,2010
West Bengal,30750,2747138,2010
Jammu & Kashmir,21029,738905,2010
