State,CO2,VR,Year
Andhra Pradesh,16384,7882262,2015
Assam,17390,2509737,2015
Bihar,18347,4777596,2015
Delhi,19293,8850720,2015
Goa,20314,1083668,2015
Gujarat,21173,18720567,2015
Haryana,22213,7927550,2015
Himachal Pradesh,23229,1077404,2015
Karnataka,25084,14784961,2015
Kerala,26089,9648320,2015
Maharashtra,27930,25562175,2015
Madhya Pradesh,27051,11141127,2015
Orissa,29032,5218595,2015
Punjab,29997,6262939,2015
Rajasthan,30929,12378929,2015
Tamil Nadu,31836,22518669,2015
Uttar Pradesh,32813,21635531,2015
West Bengal,33876,7403241,2015
Jammu & Kashmir,24199,1244271,2015
