State,CO2,VR,Year
Andhra Pradesh,14850,10189347,2011
Assam,13878,1582128,2011
Bihar,15822,2673209,2011
Delhi,16794,7227671,2011
Goa,17766,790075,2011
Gujarat,18738,12993135,2011
Haryana,19710,5377003,2011
Himachal Pradesh,20682,621714,2011
Karnataka,22627,9930483,2011
Kerala,23599,6072019,2011
Maharashtra,24571,17434099,2011
Madhya Pradesh,25543,7355702,2011
Orissa,26515,3338038,2011
Punjab,27487,5274254,2011
Rajasthan,28460,7986265,2011
Tamil Nadu,29432,15638245,2011
Uttar Pradesh,30404,13287232,2011
West Bengal,31376,3260624,2011
Jammu & Kashmir,21655,926961,2011
