State,CO2,VR,Year
Andhra Pradesh,13599,8058948,2009
Assam,12627,1234751,2009
Bihar,14571,1959553,2009
Delhi,15543,3846721,2009
Goa,16515,673909,2009
Gujarat,17487,10998651,2009
Haryana,18459,4425221,2009
Himachal Pradesh,19431,494398,2009
Karnataka,21376,6952551,2009
Kerala,22348,4859918,2009
Maharashtra,23320,14459090,2009
Madhya Pradesh,24292,6010691,2009
Orissa,25264,2607361,2009
Punjab,26236,4831531,2009
Rajasthan,27208,4715835,2009
Tamil Nadu,28181,10223233,2009
Uttar Pradesh,29153,8521198,2009
West Bengal,30125,3043619,2009
Jammu & Kashmir,20404,668445,2009
